DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-11T21:00:00,4.04,86.7,0.97,254.4,29.59,293.7,9.19,445.77,11.938,8.99
2020-10-11T22:00:00,4.77,74.75,0.77,278.8,33.78,274,8.88,446.024,33.02,8.51
2020-10-11T23:00:00,5.4,65.94,0.69,242.5,25.25,240.6,8.05,446.024,26.924,8.63
2020-10-12T00:00:00,5.43,74.31,0.65,167.7,16.07,243.7,6.28,446.024,22.098,7.79
2020-10-12T01:00:00,4.11,78.44,0.28,26.54,3.19,298.2,5.24,446.024,3.048,6.71
2020-10-12T02:00:00,3.27,83,0.42,0,1.17,304.5,3.89,446.024,0,5.77
2020-10-12T03:00:00,3.85,70.11,0.49,0,2.51,283.9,2.87,446.024,6.096,4.88
2020-10-12T04:00:00,4.84,68.06,0.59,0.35,1.61,314.6,3.72,446.024,23.114,4.62
2020-10-12T05:00:00,5.66,63.08,0.74,0.25,1.26,314.8,3.97,446.024,14.986,4.66
2020-10-12T06:00:00,6.17,60.49,0.86,0,1.59,302.3,3.73,446.024,23.114,4.45
2020-10-12T07:00:00,6.45,61.94,1.24,0,0.89,311.9,4.11,446.024,28.956,4.48
2020-10-12T08:00:00,6.45,65.06,1.34,0,0.65,318,4.27,446.278,23.876,4.5
2020-10-12T09:00:00,6.19,64.47,1.24,0,0.24,317.3,4.23,446.278,27.94,4.52
2020-10-12T10:00:00,6.16,69.34,1.12,0,0.73,314.5,4.16,446.278,25.908,4.46
2020-10-12T11:00:00,5.59,70.65,0.89,0,0,333.2,4.19,446.278,4.064,4.55
2020-10-12T12:00:00,6.17,68.95,0.88,0,0,320.4,4.37,446.278,5.08,4.65
2020-10-12T13:00:00,5.2,88.5,0.97,0,0,337.5,4.32,446.278,0,4.69
2020-10-12T14:00:00,5.42,76.36,0.92,0,0,344,4.13,446.278,5.08,4.67
2020-10-12T15:00:00,5.79,89.2,1.22,5.81,1.66,337.7,4.72,446.532,16.002,4.83
2020-10-12T16:00:00,5.59,84,1.08,57.53,9.23,337.2,5.77,446.786,17.018,5.45
2020-10-12T17:00:00,6.9,82.2,1.29,130.3,18.89,331.5,7.43,446.786,18.034,6.54
2020-10-12T18:00:00,7.86,79.85,1.3,195.6,24.22,305.5,8.5,446.786,18.034,7.64
2020-10-12T19:00:00,10.33,72.86,1.38,532.9,47.12,269.6,10.85,447.294,33.02,9.56
2020-10-12T20:00:00,8.7,75.57,1.4,163.8,17.86,324.4,10.05,447.294,26.924,9.97
2020-10-12T21:00:00,9.16,71.01,1.7,207.7,27.12,319.6,10.6,447.294,23.114,9.35
